,Incident Date,County,State,Zipcode,Latitude,Longitude,# Killed,# Injured,State FIPS,County FIPS
279,2015-12-12,Chatham,Georgia,31401,32.08,-81.1,0,4,13,051
280,2015-12-12,St. Clair,Illinois,62059,38.65,-90.16,1,3,17,163
281,2015-12-11,Baltimore City,Maryland,21215,39.3,-76.61,1,3,24,510
282,2015-12-11,Allegheny,Pennsylvania,15210,40.43,-79.97,0,4,42,003
283,2015-12-08,Hamilton,Ohio,45225,39.09,-84.51,1,3,39,061
284,2015-12-06,Lafourche Parish,Louisiana,70394,29.71,-90.59,1,3,22,057
285,2015-12-06,Douglas,Nebraska,68164,41.26,-96.01,2,3,31,055
286,2015-12-02,San Bernardino,California,92408,34.07,-117.25,16,19,06,071
287,2015-12-02,Chatham,Georgia,31401,32.08,-81.1,1,3,13,051
288,2015-11-29,Kankakee,Illinois,60901,41.11,-87.86,0,5,17,091
289,2015-11-27,El Paso,Colorado,80907,38.86,-104.76,3,9,08,041
290,2015-11-27,Sacramento,California,95828,38.48,-121.4,2,2,06,067
291,2015-11-24,Horry,South Carolina,29527,33.83,-79.04,0,4,45,051
292,2015-11-23,Franklin,Ohio,43204,39.98,-82.98,4,1,39,049
293,2015-11-23,Hennepin,Minnesota,55409,44.96,-93.26,0,5,27,053
294,2015-11-22,Cameron,Texas,78521,25.92,-97.48,0,4,48,061
295,2015-11-22,King,Washington,98122,47.61,-122.3,0,4,53,033
296,2015-11-22,Orange,New York,12550,41.5,-74.02,0,5,36,071
297,2015-11-22,Charleston,South Carolina,29405,32.78,-79.99,1,3,45,019
298,2015-11-22,Cook,Illinois,60624,41.83,-87.68,0,4,17,031
299,2015-11-22,Orleans Parish,Louisiana,70117,30.06,-89.93,0,17,22,071
300,2015-11-21,Baltimore City,Maryland,21217,39.3,-76.61,1,3,24,510
301,2015-11-20,Allegheny,Pennsylvania,15229,40.43,-79.97,1,3,42,003
302,2015-11-18,Fresno,California,93706,36.64,-119.91,0,5,06,019
303,2015-11-16,Cherokee,Alabama,35959,34.22,-85.59,3,1,01,019
304,2015-11-15,None,Texas,NaN,31.8354447,-95.8388504,5,0,,
305,2015-11-15,Philadelphia,Pennsylvania,19138,39.95,-75.16,0,4,42,101
306,2015-11-14,Cambria,Pennsylvania,15909,40.32,-78.91,0,4,42,021
307,2015-11-13,Duval,Florida,32218,30.33,-81.65,4,1,12,031
308,2015-11-09,Marion,Indiana,46201,39.77,-86.14,2,2,18,097
309,2015-11-08,Polk,Iowa,50313,41.57,-93.61,1,3,19,153
310,2015-11-08,Macomb,Michigan,48089,42.49,-83.02,0,4,26,099
311,2015-11-07,Denver,Colorado,80223,39.76,-104.87,1,3,08,031
312,2015-11-06,Kern,California,93307,35.2,-118.86,0,4,06,029
313,2015-11-03,Duval,Florida,32209,30.33,-81.65,2,3,12,031
314,2015-11-02,Anderson,South Carolina,29670,34.65,-82.78,4,0,45,007
315,2015-10-28,Terrebonne Parish,Louisiana,70360,29.57,-90.7,1,3,22,109
316,2015-10-27,Tarrant,Texas,76115,32.75,-97.33,0,5,48,439
317,2015-10-26,Vanderburgh,Indiana,47711,37.98,-87.54,0,5,18,163
318,2015-10-25,Johnston,North Carolina,27524,35.44,-78.42,0,5,37,101
319,2015-10-25,Maricopa,Arizona,85040,33.4,-112.02,1,4,04,013
320,2015-10-25,District Of Columbia,District of Columbia,20032,38.89,-77.03,0,5,,
321,2015-10-24,Bamberg,South Carolina,29003,33.29,-81.03,0,4,45,009
322,2015-10-22,Davidson,Tennessee,37209,36.17,-86.78,1,3,47,037
323,2015-10-19,Cook,Illinois,60409,41.61,-87.54,0,6,17,031
324,2015-10-18,Orleans Parish,Louisiana,70117,30.06,-89.93,0,4,22,071
325,2015-10-17,Elkhart,Indiana,46516,41.68,-85.96,0,4,18,039
326,2015-10-17,L,Florida,33901,26.63,-81.85,1,4,,
327,2015-10-12,Dekalb,Georgia,30035,33.77,-84.29,0,4,,
328,2015-10-10,Shelby,Tennessee,38115,35.1,-90.0,0,6,47,157
329,2015-10-10,Mecklenburg,North Carolina,28208,35.19,-80.83,0,4,37,119
330,2015-10-10,Peoria,Illinois,61604,40.74,-89.6,1,3,17,143
331,2015-10-09,Coconino,Arizona,86001,35.23,-111.72,1,3,04,005
332,2015-10-06,Baltimore City,Maryland,21223,39.3,-76.61,0,5,24,510
333,2015-10-02,Baltimore City,Maryland,21215,39.3,-76.61,1,4,24,510
334,2015-10-01,Douglas,Oregon,97470,43.21,-123.4,10,9,41,019
335,2015-09-28,Hamilton,Ohio,45207,39.09,-84.51,0,5,39,061
336,2015-09-28,Cook,Illinois,60609,41.83,-87.68,3,2,17,031
337,2015-09-28,Cook,Illinois,60609,41.83,-87.68,2,3,17,031
338,2015-09-28,Montgomery,Ohio,45417,39.77,-84.19,0,4,39,113
339,2015-09-27,Meriwether,Georgia,30222,33.02,-84.71,0,10,13,199
340,2015-09-27,Cook,Illinois,60609,41.83,-87.68,0,4,17,031
341,2015-09-27,Jackson,Missouri,64108,39.09,-94.58,0,4,29,095
342,2015-09-25,Vermilion,Illinois,61832,40.14,-87.61,0,4,17,183
343,2015-09-24,Cook,Illinois,60609,41.83,-87.68,0,5,17,031
344,2015-09-23,Caddo Parish,Louisiana,71107,32.47,-93.79,0,5,22,017
345,2015-09-23,L,Florida,33916,26.63,-81.85,0,4,,
346,2015-09-23,Gwinnett,Georgia,30093,33.94,-84.2,1,3,13,135
347,2015-09-20,Philadelphia,Pennsylvania,19124,39.95,-75.16,1,3,42,101
348,2015-09-20,Cook,Illinois,60621,41.83,-87.68,1,5,17,031
