,Incident Date,State,City Or County,Address,# Killed,# Injured,ST,Zipcode,Latitude,Longitude,Population At Incident,Density,Type
751,2016-08-13,Missouri,Joplin,1800 Connecticut Ave,0,4,MO,64804,37.08,-94.5,35641.0,411.52,Rural
752,2016-08-12,Florida,Jacksonville,100 block of West 38th Street,1,3,FL,32206,30.33,-81.65,16820.0,2866.02,Suburban
753,2016-08-12,Texas,Dallas,10921 Estate Ln,1,3,TX,75238,32.79,-96.76,32714.0,4634.79,Urban
754,2016-08-11,Pennsylvania,Philadelphia,500 block of E Ashmead St,0,4,PA,19144,39.95,-75.16,40613.0,12621.32,Urban
755,2016-08-10,Illinois,Evanston,Foster Street and Jackson Avenue,0,4,IL,60201,42.04,-87.68,43056.0,9126.98,Urban
756,2016-08-10,California,Sacramento,4000 Green Tree Drive,1,3,CA,95823,38.47,-121.44,76478.0,6267.79,Urban
757,2016-08-08,Florida,Jacksonville,1214 Labelle St,0,7,FL,32205,30.33,-81.65,28913.0,3720.67,Urban
758,2016-08-08,New Mexico,Albuquerque,341 General Marshall Street NE,2,2,NM,87123,35.11,-106.62,44656.0,1198.01,Suburban
759,2016-08-07,California,Los Angeles,5925 South Figueroa Street,1,3,CA,90003,33.96,-118.27,70208.0,18661.22,Urban
760,2016-08-07,Mississippi,Vicksburg,4460 Clay St,1,3,MS,39183,32.32,-90.87,14387.0,61.52,Rural
761,2016-08-07,Colorado,Arvada,5400 block of Sheridan Boulevard,2,2,CO,80002,39.82,-105.1,18461.0,2927.7,Suburban
762,2016-08-07,Illinois,Chicago,100 block of South Springfield,0,4,IL,60624,41.83,-87.68,38134.0,10779.35,Urban
763,2016-08-06,Pennsylvania,Reading (Sinking Spring),51 Winding Brook Drive,5,0,PA,19608,40.33,-75.92,22431.0,884.63,Rural
764,2016-08-05,Michigan,Pontiac,70 block of Thorpe Street,1,3,MI,48341,42.64,-83.28,17350.0,2681.74,Suburban
765,2016-08-05,California,Perris,21600 block of Rider St,2,2,CA,92570,33.78,-117.33,59324.0,551.85,Rural
766,2016-08-04,Tennessee,Memphis,Ayers Street and Griffith Avenue,0,4,TN,38107,35.1,-90.0,16865.0,3277.41,Urban
767,2016-08-03,Georgia,Decatur,4110 Glenwood Road,1,3,GA,30032,33.77,-84.29,48724.0,3462.53,Urban
768,2016-08-02,Florida,Hollywood (West Park),5700 block of Hallandale Beach Blvd,0,4,FL,33023,26.02,-80.16,70910.0,6597.76,Urban
769,2016-08-01,Indiana,Evansville,South Bedford Avenue,0,4,IN,47713,37.98,-87.54,10283.0,2865.45,Suburban
770,2016-07-31,Florida,Miami,Southwest 203rd Terrace and 115th Avenue,3,1,FL,33189,25.77,-80.2,26363.0,4298.76,Urban
771,2016-07-31,Texas,Austin,208 E 6th St,1,4,TX,78701,30.26,-97.74,7401.0,4199.51,Urban
772,2016-07-30,Missouri,Saint Louis,5000 block of Kensington Ave,0,5,MO,63108,38.63,-90.24,21345.0,9628.57,Urban
773,2016-07-30,Washington,Mukilteo,10009 Chennault Beach,3,1,WA,98275,47.91,-122.3,20994.0,2653.74,Suburban
774,2016-07-30,Georgia,Townsend (Eulonia),NaN,0,5,GA,NaN,31.5332762,-81.4270478,NaN,,
775,2016-07-29,Georgia,Athens,Trail Creek St,0,7,GA,30601,33.95,-83.39,22932.0,883.63,Rural
776,2016-07-28,New York,Elmira,303 College Ave,0,5,NY,14901,42.08,-76.8,16334.0,447.63,Rural
